Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;1934;45;43;22,2;28;1,4;0;0;0;50;19;34;14;189;835;5;137;134;8;53;8,4;18;
ANDERSON LIGEIRO;1797;51;36;21,5;12;0,7;0;0;0;36;14;25;7;155;797;4;135;120;6;55;8;16;
BEDEU;2651;51;52;24,1;54;2;0;0;0;96;32;58;30;273;1251;7;137;203;12;48;7,2;25;
BRUNO OLIVEIRA;1313;34;38;21,1;11;0,8;0;0;0;37;16;21;11;133;546;4;154;87;7;48;8,8;16;
CESINHA;1885;51;37;23,3;34;1,8;0;0;0;36;15;23;8;154;726;4;103;123;5;53;8,2;14;
CLAYTON;2085;51;41;21,3;18;0,9;0;0;0;45;22;19;6;206;842;5;138;138;6;57;6,7;17;
DIEGO CEARÁ;1972;48;41;22,4;28;1,4;0;0;0;49;18;25;9;210;770;4;225;122;6;43;8,4;16;
DIONE;1879;51;37;21,9;10;0,5;0;0;0;34;11;31;16;186;852;5;151;140;6;59;8,2;17;
DIP;1763;37;48;22,9;26;1,5;0;0;0;57;22;42;18;165;844;6;133;137;10;55;8,7;23;
EZEQUIEL;2397;46;52;21,5;18;0,8;0;0;0;98;27;77;35;242;1358;8;178;233;14;72;7,3;29;
IGOR NUNES;1578;38;41;21;15;0,9;0;0;0;38;19;33;17;162;626;4;126;97;7;48;8,6;16;
JADSON;1965;51;39;23,5;45;2,3;0;0;0;50;21;43;16;224;702;4;145;114;8;48;9,4;14;
JEFFERSON;1774;46;39;22,3;18;1;0;0;0;33;12;26;13;180;694;4;91;109;6;46;9;15;
JOÃO MARCUS;1940;51;38;20,8;4;0,2;0;0;0;46;19;24;11;153;746;4;145;111;6;51;8,4;15;
JUNIOR DINDÊ;1611;39;42;22,4;31;1,9;0;0;0;32;15;22;5;142;603;4;138;101;6;49;9;16;
KAYAN;1713;45;38;23,4;49;2,8;0;0;0;54;26;45;15;209;775;5;147;133;8;56;9;17;
KLAYVER;2223;49;46;22;33;1,5;0;0;0;54;20;34;14;231;786;5;142;132;8;48;7,6;16;
LUCAS;2496;47;53;23,4;82;3,3;0;0;0;110;33;80;27;320;1331;8;125;225;14;56;8,4;28;
MARQUINHOS;1908;51;38;22,3;35;1,8;0;0;0;42;19;27;8;167;716;4;134;115;7;49;7,7;14;
ORLANDO JUNIOR;1846;51;36;22,5;26;1,4;0;0;0;33;7;18;6;158;809;4;119;124;5;62;8;16;
OTÁVIO;2378;51;47;22;15;0,6;0;0;0;50;22;26;8;225;905;4;151;136;7;50;9,2;18;
RAFINHA;1484;35;43;22,6;34;2,3;0;0;0;40;20;37;18;171;576;5;124;97;8;50;8,8;17;
THOMAS;2455;51;49;22,8;30;1,2;0;0;0;81;34;47;17;201;1124;6;144;175;10;56;9,1;22;
TOSCANO;1655;37;44;20,7;16;1;0;0;0;22;8;13;6;148;663;5;95;111;6;56;8,5;18;
UESLES;1848;40;47;23,1;43;2,3;0;0;0;54;21;34;13;173;801;5;170;121;8;50;9,4;20;
VITÃO;1727;38;45;19,9;2;0,1;0;0;0;30;11;14;5;132;728;5;85;112;5;51;7,4;19;
