Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;5371;54;99;29,4;332;6,1;73;1,32;5;72;17;74;26;779;1410;10;165;248;8;90;10,7;54;
ANDERSON LIGEIRO;2107;20;107;28,5;242;11,5;41;1,95;4;42;15;27;9;380;773;11;163;132;6;74;11,4;39;
CESINHA;3318;36;91;28,4;208;6,3;26;0,79;1;39;13;42;15;428;1082;9;131;196;7;57;8,7;30;
CLAYTON;2485;23;110;29,4;119;4,8;43;1,72;2;39;12;32;13;346;951;13;188;174;8;64;11,8;42;
DIEGO CEARÁ;4601;54;85;29,2;233;5,1;29;0,63;3;61;16;59;25;541;1516;8;190;254;7;51;9,1;28;
IGOR NUNES;1998;18;111;32,1;228;11,4;95;4,77;4;32;7;41;13;385;662;11;169;114;10;65;12,1;37;
JADSON;4813;54;89;26,7;101;2,1;15;0,31;1;45;4;42;11;373;1611;8;109;261;5;47;9,4;30;
JEFFERSON;2447;23;108;32,2;240;9,8;69;2,82;4;50;11;49;21;507;832;11;176;155;11;57;11,1;37;
JOÃO MARCUS;5023;54;93;28;251;5;32;0,63;2;71;25;60;19;695;1685;8;190;273;7;59;9,6;31;
JUNIOR DINDÊ;3142;31;101;28;125;4;13;0,4;1;31;7;42;14;416;1039;10;148;187;9;49;12,1;34;
KAYAN;5448;54;101;27,9;364;6,7;75;1,38;7;85;20;90;35;905;2169;12;183;405;9;68;10,4;40;
KLAYVER;5865;54;108;30,9;422;7,2;160;2,73;10;77;22;83;28;913;1980;11;224;368;9;56;12,4;37;
ORLANDO JUNIOR;3020;31;97;33,3;320;10,6;88;2,91;5;53;11;54;18;515;1170;12;223;216;8;68;9,3;37;
OTÁVIO;3324;35;95;33,2;106;3,2;34;1,02;1;45;4;40;11;403;1122;9;145;184;7;60;10,2;32;
RAFINHA;2547;23;113;26;134;5,3;2;0,08;0;26;3;40;21;395;919;12;108;159;10;57;11;41;
TOSCANO;3597;31;115;27,1;227;6,3;12;0,32;2;32;4;41;10;592;1348;14;128;258;8;68;11,4;43;
