Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3285;48;69;26,2;115;3,4;8;0,23;1;62;15;46;15;410;1411;8;151;233;8;59;9,8;29;
ANDERSON LIGEIRO;3529;48;74;29;192;5,4;40;1,13;3;73;23;52;13;501;1539;8;204;243;8;83;11,1;32;
CESINHA;2841;48;59;25,8;101;3,5;1;0,05;0;51;15;31;10;310;1173;7;126;192;6;47;7,7;24;
CLAYTON;3311;48;69;23,3;75;2,3;0;0;0;60;14;39;13;397;1438;8;152;244;8;64;10,2;30;
DIEGO CEARÁ;2735;48;57;24,7;17;0,6;0;0;0;34;9;23;7;207;1104;6;140;169;5;45;7,7;23;
DIONE;3176;48;66;25,2;89;2,8;1;0,02;0;33;7;37;15;353;1610;10;101;292;6;70;9,3;34;
IGOR NUNES;3440;48;72;27;184;5,3;14;0,42;1;85;22;42;13;486;1400;7;138;212;8;54;10,4;29;
JADSON;2803;48;59;25,5;66;2,3;1;0,03;0;50;12;39;13;287;1157;6;125;180;7;51;8;24;
JEFFERSON;3279;48;68;25,1;132;4;0;0;0;74;18;50;19;447;1378;8;196;235;8;56;10,1;29;
JOÃO MARCUS;3222;48;67;27,2;69;2,2;8;0,25;1;58;12;44;9;309;1382;7;144;209;7;53;9,9;29;
JUNIOR DINDÊ;3213;48;67;27,6;110;3,4;7;0,21;1;52;7;35;10;330;1306;8;143;221;7;55;9,5;27;
KAYAN;3532;48;74;25,9;197;5,6;6;0,18;2;94;23;74;29;530;1690;10;166;299;10;66;10;35;
KLAYVER;3498;48;73;26,5;157;4,5;12;0,33;1;88;31;64;26;469;1392;8;175;237;11;59;10,8;29;
MARQUINHOS;3856;48;81;26,4;189;4,9;11;0,3;1;76;15;69;21;635;1589;10;149;277;9;64;12;33;
ORLANDO JUNIOR;3454;48;72;27,5;145;4,2;4;0,13;0;70;19;52;18;463;1584;9;194;259;8;68;9,8;33;
OTÁVIO;3409;48;71;27,2;55;1,6;9;0,25;1;34;4;27;5;349;1341;7;164;207;5;52;10;28;
RAFINHA;3440;48;72;23;115;3,4;0;0;0;59;16;55;23;546;1431;8;149;243;8;61;11,1;30;
TOSCANO;3327;48;69;26,8;62;1,9;9;0,26;1;48;13;37;10;351;1587;10;110;278;6;60;9,7;33;
UESLES;3248;48;68;27,2;150;4,6;18;0,54;1;82;24;58;14;461;1411;8;174;217;10;54;10,1;29;
VITÃO;3101;48;65;27,6;73;2,3;10;0,31;1;48;8;44;12;354;1290;7;112;205;8;56;8,7;27;
