Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;10003;102;98;29,4;526;5,2;94;0,94;7;150;34;154;52;1425;2826;10;178;491;9;94;11,2;54;
BRUNO OLIVEIRA;9349;102;92;32,6;731;7,8;199;2,13;14;151;35;159;56;1439;3231;9;200;550;9;63;11;32;
CESINHA;9331;102;92;29,2;430;4,6;50;0,54;5;100;26;107;40;987;3019;9;130;534;6;58;9,6;30;
CLAYTON;6657;66;101;33;241;3,6;74;1,11;4;113;27;110;38;861;2563;12;192;460;10;71;11,7;39;
DIEGO CEARÁ;5964;65;91;32,6;337;5,7;70;1,17;5;93;21;97;34;829;1967;8;217;321;8;62;9,5;30;
JADSON;9104;102;89;32,6;370;4,1;75;0,82;4;100;19;112;33;933;2892;8;152;468;7;53;10,1;28;
JEFFERSON;5581;52;108;31,5;476;8,5;112;2;8;114;27;111;41;1101;1988;12;167;365;11;59;13;39;
JOÃO MARCUS;9229;102;91;29,1;355;3,8;51;0,55;4;141;37;131;53;1254;3161;8;246;510;8;56;11,2;31;
JUNIOR DINDÊ;3763;36;105;27,3;129;3,4;9;0,25;1;49;5;41;13;535;1243;10;124;224;8;55;10,7;35;
KAYAN;10496;97;109;27,8;644;6,1;67;0,63;7;198;54;214;74;1768;4342;14;179;819;11;75;12,5;45;
LUCAS;3011;26;117;28,3;359;11,9;44;1,47;4;40;7;51;12;656;1115;14;169;211;10;76;13,7;43;
MARQUINHOS;8479;77;110;27,2;348;4,1;30;0,36;4;127;21;134;46;1263;3088;12;225;563;9;75;12,9;40;
ORLANDO JUNIOR;3678;36;101;26,9;268;7,3;27;0,72;4;57;13;59;21;575;1472;12;195;264;8;67;10,8;40;
OTÁVIO;9873;102;97;28,9;274;2,8;47;0,48;4;135;33;126;41;1285;3373;9;146;553;8;60;10,7;33;
TOSCANO;5122;50;103;30,9;294;5,7;86;1,68;5;70;11;80;20;714;1986;12;133;358;8;71;11,6;40;
UESLES;449;6;78;23,4;5;1,1;0;0;0;14;3;7;2;53;183;9;195;30;9;40;8,3;32;
