Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4131;75;55;26;106;2,6;11;0,27;1;100;29;71;23;493;1668;6;164;278;9;62;11,5;22;
ANDERSON LIGEIRO;3961;75;53;27,2;143;3,6;25;0,62;3;102;26;56;23;500;1689;6;255;272;8;68;12,8;22;
CESINHA;3631;75;48;29,3;180;5;21;0,58;2;75;21;59;16;420;1382;5;129;235;7;54;9,8;18;
CLAYTON;4341;75;58;24,1;80;1,8;0;0;0;117;42;78;26;547;1830;7;250;314;9;69;12,1;24;
DIEGO CEARÁ;4183;75;56;23,2;94;2,3;0;0;0;94;27;62;15;477;1573;6;146;254;9;52;10,1;21;
IGOR NUNES;3865;75;51;28,8;127;3,3;19;0,48;1;87;21;63;25;457;1519;5;193;237;8;67;13;20;
JADSON;4037;75;54;27,6;60;1,5;16;0,4;1;113;28;79;24;426;1480;5;141;238;10;52;10,1;20;
JEFFERSON;4256;75;57;27,6;150;3,5;6;0,15;1;120;41;90;25;666;1676;6;141;290;10;67;13,3;22;
JOÃO MARCUS;4404;75;59;24,7;65;1,5;0;0;0;137;40;83;33;530;1716;6;172;263;10;50;11,6;23;
JUNIOR DINDÊ;3667;75;49;21,1;12;0,3;0;0;0;67;17;54;16;320;1434;5;138;240;6;54;11,4;19;
KAYAN;4340;75;58;26,3;210;4,8;18;0,41;2;138;53;115;42;682;1974;8;190;356;11;72;12,7;26;
KLAYVER;4760;75;63;28;218;4,6;43;0,9;4;110;39;85;25;583;1783;7;169;317;10;55;11,7;24;
LUCAS;4399;75;59;26,2;132;3;9;0,21;1;112;35;79;25;593;1849;7;145;336;9;66;12;25;
ORLANDO JUNIOR;3756;75;50;29,9;122;3,2;33;0,88;2;101;24;65;15;474;1622;6;165;270;8;78;11,5;22;
OTÁVIO;3913;75;52;22,3;41;1;0;0;0;62;10;43;11;353;1535;5;142;242;6;55;10,4;20;
RAFINHA;4126;75;55;23,6;120;2,9;0;0;0;72;14;78;31;466;1698;6;147;281;10;67;13,1;23;
TOSCANO;4299;75;57;23,7;31;0,7;0;0;0;77;14;51;13;422;1922;8;110;340;7;80;11,9;26;
UESLES;4306;75;57;25,4;76;1,8;1;0,03;0;141;54;81;32;541;1756;6;184;272;11;58;10,8;23;
VITÃO;4115;75;55;28,6;45;1,1;8;0,18;1;77;18;50;15;416;1586;6;140;253;7;60;9,4;21;
