Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4288;69;62;26,5;145;3,5;24;0,58;2;96;30;60;20;563;1690;7;161;289;8;63;10,6;25;
ANDERSON LIGEIRO;4163;71;59;29,5;195;4,7;68;1,64;3;69;18;54;14;570;1712;6;126;271;7;68;10,2;24;
BEDEU;4226;58;73;21,4;23;0,5;0;0;0;105;38;30;9;508;1749;9;126;310;7;74;10,6;30;
BRUNO OLIVEIRA;3893;70;55;27,4;250;6,4;29;0,74;3;102;31;80;34;576;1486;6;215;250;8;56;10,6;21;
CESINHA;3689;71;52;29;102;2,8;37;0,99;2;63;24;49;14;406;1312;5;132;230;6;49;8,9;19;
CLAYTON;4493;71;64;31,1;153;3,4;84;1,88;4;108;39;82;26;622;1842;8;196;330;9;67;11,2;26;
DIEGO CEARÁ;4273;71;61;30,4;268;6,3;51;1,2;4;117;29;79;22;644;1508;6;147;255;9;50;10,6;21;
DIONE;4026;71;57;25,6;88;2,2;3;0,07;0;65;19;49;18;457;1811;8;123;329;7;60;10,7;26;
DIP;3889;71;55;24,6;147;3,8;0;0;0;78;25;41;13;458;1446;6;114;239;7;54;9;20;
EZEQUIEL;4549;58;78;22;13;0,3;0;0;0;124;30;37;5;498;2119;12;149;406;8;80;11,3;36;
IGOR NUNES;4081;71;58;25,3;192;4,7;1;0,02;0;91;33;57;19;574;1516;6;196;245;7;56;10,3;21;
JOÃO MARCUS;4107;71;58;25,1;87;2,1;0;0;0;102;39;54;23;460;1501;6;156;235;8;53;9,4;21;
JUNIOR DINDÊ;4193;71;59;23,6;69;1,7;0;0;0;82;26;50;17;519;1595;7;151;281;7;60;10,9;23;
KAYAN;4520;71;64;28,1;413;9,1;71;1,57;7;135;45;105;38;800;1992;9;176;376;11;69;11,2;28;
KLAYVER;4211;71;60;28,8;65;1,6;14;0,33;1;105;35;85;36;530;1561;7;149;276;10;58;10,4;22;
LUCAS;4395;71;62;25,4;124;2,8;1;0,02;0;105;42;77;27;613;1764;7;129;306;9;66;11,3;25;
MARQUINHOS;4618;70;66;27,3;260;5,6;32;0,69;3;126;34;83;30;739;1770;7;161;306;9;66;12,6;25;
ORLANDO JUNIOR;4252;71;60;28,2;151;3,6;21;0,5;2;105;33;53;11;539;1804;7;318;305;7;79;9,1;26;
OTÁVIO;4861;58;83;20,4;2;0;0;0;0;81;20;28;3;607;1836;8;137;283;6;74;12,1;32;
THOMAS;4273;71;61;29,4;239;5,6;69;1,61;5;71;18;53;15;506;1635;6;150;274;6;60;10,6;23;
TOSCANO;4830;71;68;26,4;124;2,6;13;0,27;1;75;19;39;8;627;2053;8;165;357;6;78;11,3;29;
UESLES;4624;71;66;28,8;149;3,2;37;0,8;4;115;46;67;21;601;1719;6;177;268;8;52;9,9;24;
VITÃO;4173;71;59;26,4;76;1,8;6;0,15;1;84;26;66;27;539;1563;6;141;258;8;62;10,8;22;
