Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3929;75;52;24,5;75;1,9;2;0,05;0;125;35;102;37;562;1729;6;172;296;12;67;11;23;
ANDERSON LIGEIRO;2639;42;63;19,3;0;0;0;0;0;37;12;25;12;221;1125;7;149;183;5;84;17,4;27;
BILÃO;3739;77;48;24,6;86;2,3;0;0;0;116;33;105;34;586;1600;6;150;273;12;63;10,5;21;
BRUNO OLIVEIRA;4661;77;60;24,9;110;2,4;0;0;0;164;47;122;38;690;2097;8;253;355;13;68;10,9;27;
CESINHA;3820;77;50;26,3;188;4,9;8;0,2;1;118;38;89;31;593;1502;6;147;263;10;67;9,6;19;
CLAYTON;3907;77;51;23,9;48;1,2;0;0;0;136;34;101;34;504;1839;7;348;323;11;65;10,3;24;
DIEGO CEARÁ;3560;77;46;26,9;57;1,6;11;0,31;1;112;34;92;25;426;1521;5;179;246;11;66;10,2;20;
EZEQUIEL;3961;77;51;24,8;103;2,6;0;0;0;115;20;116;37;612;1806;7;168;325;12;79;13,2;23;
IGOR NUNES;4408;77;57;24,5;108;2,4;0;0;0;204;65;139;64;691;1920;7;162;310;15;66;11,3;25;
JADSON;4205;77;54;26,1;82;1,9;4;0,1;0;129;33;101;38;629;1754;6;111;299;14;63;10,7;23;
JEFFERSON;3941;77;51;27,5;90;2,3;7;0,18;2;116;27;103;34;620;1731;7;204;304;12;64;10,7;22;
JOÃO MARCUS;4229;77;55;24,1;65;1,5;0;0;0;138;43;115;47;651;1773;6;125;290;12;61;11,1;23;
JUNIOR DINDÊ;4057;77;53;22,1;28;0,7;0;0;0;106;28;87;33;508;1614;6;127;285;10;57;10;21;
KAYAN;3682;77;48;25,6;46;1,2;3;0,08;0;120;34;95;42;464;1852;7;172;333;10;67;9,3;24;
KLAYVER;4803;77;62;25,8;93;1,9;2;0,04;0;153;50;139;54;743;1923;7;196;339;13;60;12,2;25;
LUCAS;4379;77;57;23,5;97;2,2;0;0;0;112;24;121;33;669;2055;8;158;368;12;77;11,4;27;
ORLANDO JUNIOR;3579;77;46;25,5;52;1,5;1;0,04;0;98;15;91;28;453;1815;7;227;318;10;73;9,6;24;
OTÁVIO;3698;77;48;25,1;93;2,5;0;0;0;114;26;81;28;520;1517;5;131;246;9;62;10,8;20;
RAFINHA;4066;77;53;23,5;77;1,9;0;0;0;136;41;127;59;638;1776;7;141;306;14;73;11,2;23;
UESLES;3936;77;51;23,5;59;1,5;0;0;0;173;67;107;44;562;1692;6;167;273;13;66;10;22;
VITÃO;3310;77;43;22,4;20;0,6;0;0;0;94;29;81;32;456;1398;5;125;230;10;64;10,4;18;
