Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3465;73;48;24,1;54;1,5;4;0,1;0;70;22;54;21;373;1323;5;148;217;7;53;9,2;18;
ANDERSON LIGEIRO;3499;73;48;27,1;98;2,8;12;0,36;1;67;17;56;23;421;1401;5;146;223;6;72;10;19;
BEDEU;4041;73;56;27;50;1,2;9;0,23;1;86;28;65;26;462;1474;6;137;245;8;67;10,3;20;
BRUNO OLIVEIRA;3650;73;50;25,9;86;2,3;1;0,04;0;73;23;62;21;498;1330;5;142;227;8;53;10,3;18;
CESINHA;3718;73;51;24,3;65;1,8;0;0;0;78;32;45;18;373;1335;5;149;223;7;47;7,9;18;
CLAYTON;2708;73;37;21,4;9;0,3;0;0;0;47;17;41;11;218;1013;4;148;158;6;46;7,4;14;
DIEGO CEARÁ;2614;73;36;20,9;2;0,1;0;0;0;48;16;29;11;164;1035;4;140;156;6;43;8,1;14;
DIONE;3107;73;43;24,3;46;1,5;0;0;0;39;8;40;18;275;1352;5;152;226;6;58;8,4;19;
DIP;3507;73;48;24,2;65;1,9;0;0;0;62;17;35;13;327;1253;5;188;205;5;49;8,7;17;
IGOR NUNES;3249;73;45;22,5;25;0,8;0;0;0;96;29;67;28;354;1227;4;196;187;9;49;10,4;17;
JADSON;3298;73;45;22,3;33;1;0;0;0;71;23;62;22;380;1160;4;134;190;8;45;9,2;16;
JEFFERSON;3547;73;49;29;106;3;30;0,85;3;82;24;52;19;406;1395;5;155;228;8;46;9,2;19;
JOÃO MARCUS;3575;73;49;26,6;93;2,6;6;0,18;1;97;37;68;31;433;1314;5;211;209;8;49;8,9;18;
JUNIOR DINDÊ;3697;73;51;23,9;65;1,8;0;0;0;89;40;66;24;421;1283;5;124;220;7;47;8,9;18;
KAYAN;3887;73;53;26,1;75;1,9;4;0,11;1;94;29;70;30;484;1677;7;121;293;8;54;10,5;23;
KLAYVER;4409;73;61;26,1;139;3,1;5;0,11;1;83;28;84;30;578;1544;6;164;279;9;60;11,7;21;
LUCAS;3513;73;48;23,8;43;1,2;0;0;0;53;13;53;21;432;1391;6;118;243;6;55;9,8;19;
MARQUINHOS;3460;73;48;23,5;20;0,6;0;0;0;76;24;50;15;327;1458;5;158;231;7;48;8,3;20;
ORLANDO JUNIOR;3338;73;46;23,2;40;1,2;0;0;0;55;14;38;13;298;1483;5;160;234;6;53;8;20;
OTÁVIO;3136;73;43;19,2;0;0;0;0;0;48;16;26;10;219;1107;4;119;167;5;48;8;15;
RAFINHA;3612;73;50;24,2;70;1,9;0;0;0;77;21;91;46;499;1354;5;134;228;10;52;9,7;19;
THOMAS;3964;73;54;21,8;28;0,7;0;0;0;58;15;45;14;381;1525;6;152;250;6;66;10,9;21;
TOSCANO;2848;73;39;21,2;2;0,1;0;0;0;48;10;31;13;190;1218;4;145;190;5;54;8,7;17;
UESLES;3705;73;51;29,4;120;3,2;20;0,54;1;109;35;79;29;522;1361;5;171;217;9;55;9,8;19;
VITÃO;3068;73;42;21,5;21;0,7;0;0;0;44;15;30;13;291;1055;4;96;171;6;50;6,9;14;
