Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;10080;101;100;29,7;631;6,2;134;1,35;9;154;34;160;53;1540;2696;10;169;462;9;101;11,2;56;
ANDERSON LIGEIRO;3829;37;103;29,6;535;14;114;2,98;7;78;19;68;17;773;1418;11;154;245;9;74;12,8;38;
BRUNO OLIVEIRA;9682;101;96;31,1;593;6,1;130;1,35;11;161;42;168;48;1427;3445;10;211;579;9;73;11,5;34;
DIEGO CEARÁ;7533;82;92;31,9;596;7,9;183;2,43;13;142;35;141;49;1196;2405;8;232;402;10;54;9,9;29;
IGOR NUNES;9773;101;97;29,2;499;5,1;93;0,95;7;164;35;130;46;1289;3413;9;180;538;9;67;12,3;34;
JADSON;8953;101;89;32,2;429;4,8;97;1,08;7;108;22;107;39;1001;2961;8;215;483;7;56;10,3;29;
JEFFERSON;3817;37;103;30,6;397;10,4;109;2,86;5;81;20;72;20;762;1357;11;161;241;12;67;10,8;37;
JOÃO MARCUS;5457;55;99;32,5;229;4,2;58;1,07;3;85;19;76;21;808;1856;9;181;299;9;50;10,7;34;
JUNIOR DINDÊ;8248;82;101;28,2;300;3,6;29;0,36;2;86;23;113;39;1053;2612;9;155;447;8;53;11,6;32;
KAYAN;7062;65;109;31,3;544;7,7;167;2,37;9;109;32;141;45;1247;2957;14;138;550;10;80;11,6;46;
MARQUINHOS;11266;101;112;29,2;615;5,5;97;0,86;6;183;33;195;64;1962;4059;12;192;743;10;73;13,3;40;
OTÁVIO;1957;20;99;27,3;124;6,3;10;0,52;1;42;7;27;7;326;662;9;148;110;10;55;9,3;33;
RAFINHA;6792;57;119;27;396;5,8;10;0,15;1;73;8;123;59;1159;2508;13;127;453;13;74;12,3;44;
TIBIRI;1909;19;98;27,8;114;6;18;0,93;1;47;11;47;13;378;703;10;157;119;13;62;10,5;36;
TOSCANO;7113;64;110;28,7;507;7,1;106;1,48;9;84;13;94;26;1058;2724;13;184;497;8;71;12,2;42;
VITÃO;3004;43;69;29,2;152;5,1;57;1,89;3;32;9;28;10;284;1130;7;106;171;6;52;8,5;26;
