Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;2602;32;81;22,3;17;0,6;0;0,01;0;64;18;37;11;312;1122;10;146;185;10;57;9,2;35;
ANDERSON LIGEIRO;2882;31;93;22,4;22;0,8;0;0;0;50;14;32;9;357;1276;11;144;203;8;63;10,3;41;
BRUNO OLIVEIRA;3051;36;84;22;13;0,4;0;0;0;70;24;44;6;378;1324;10;162;213;9;65;11;36;
CESINHA;2505;36;69;22,8;28;1,1;0;0;0;80;22;40;10;338;1042;8;122;181;10;54;8,1;29;
CLAYTON;2520;31;82;24,7;13;0,5;0;0;0;66;23;37;9;266;1118;10;158;191;10;62;9,4;36;
DIEGO CEARÁ;2334;31;76;22,4;12;0,5;0;0;0;49;8;22;5;239;920;8;145;140;8;45;7,4;30;
DIONE;2289;31;74;20;2;0,1;0;0;0;26;2;23;8;192;1138;11;94;199;8;57;8,1;37;
IGOR NUNES;2871;36;79;20,6;4;0,1;0;0;0;114;46;65;24;378;1327;9;200;198;14;54;10,2;36;
JADSON;2668;31;86;20,8;3;0,1;0;0;0;52;8;40;14;324;1042;9;113;170;12;48;9,9;34;
JEFFERSON;2405;31;78;21;2;0,1;0;0;0;58;19;36;6;283;999;9;174;172;11;48;8,3;32;
JOÃO MARCUS;2585;31;84;23,2;36;1,4;0;0;0;89;31;45;20;397;1058;9;170;166;14;54;10,4;34;
JUNIOR DINDÊ;2430;31;79;20;3;0,1;0;0;0;50;12;31;10;263;939;9;120;158;9;57;8;30;
KAYAN;2218;31;72;24,4;22;1;0;0;0;69;22;33;12;271;1083;10;137;187;10;59;7,5;35;
KLAYVER;3172;36;87;23,9;36;1,1;0;0;0;67;26;49;14;361;1241;10;150;213;10;54;10,1;34;
MARQUINHOS;2669;31;86;22,8;26;1;0;0;0;74;24;45;12;376;1103;10;136;186;10;61;10,7;36;
ORLANDO JUNIOR;2491;31;81;22,6;15;0,6;0;0;0;65;12;33;8;293;1196;11;171;203;8;60;9,1;39;
OTÁVIO;2499;31;81;20,8;5;0,2;0;0;0;41;10;21;4;208;966;8;184;151;6;49;9,3;31;
RAFINHA;2350;31;76;23,3;38;1,6;0;0;0;53;17;49;12;332;974;9;95;160;12;53;7,9;32;
TOSCANO;2601;31;84;20,6;3;0,1;0;0;0;64;10;26;9;284;1284;12;96;225;9;69;8,6;42;
UESLES;2622;31;85;25,9;35;1,3;4;0,16;1;89;28;44;17;383;1097;9;220;169;12;55;9,6;36;
VITÃO;2878;31;93;22,6;19;0,6;0;0;0;51;11;24;4;318;1229;11;123;204;8;69;10,3;40;
