Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4693;62;76;27,9;221;4,7;32;0,66;2;95;32;82;31;674;1973;9;165;337;10;65;11,3;31;
ANDERSON LIGEIRO;5250;65;81;27,5;204;3,9;29;0,56;3;121;39;80;24;743;2153;9;163;349;8;73;11,9;33;
BEDEU;4022;65;62;28,1;91;2,3;13;0,32;1;93;24;69;22;432;1857;8;344;305;10;70;13,1;29;
BRUNO OLIVEIRA;5248;65;81;33,6;434;8,3;118;2,24;8;95;37;92;34;872;2055;9;175;351;10;61;12,8;32;
CESINHA;4579;65;71;26,9;264;5,8;25;0,55;1;97;40;72;29;634;1723;8;131;301;9;50;10,7;27;
CLAYTON;950;20;48;25,8;46;4,9;3;0,3;0;21;8;20;5;109;516;7;121;84;11;71;6,8;26;
DIEGO CEARÁ;3962;65;61;33,2;209;5,3;52;1,3;3;88;27;71;26;566;1601;7;177;270;9;59;10,2;25;
DIONE;5245;65;81;26,1;149;2,8;7;0,13;1;57;16;76;30;675;2430;12;116;451;8;79;11,2;38;
DIP;5017;65;78;27,9;288;5,7;62;1,23;5;116;36;88;37;725;2006;9;139;333;11;60;10,4;31;
IGOR NUNES;4729;65;73;27,5;240;5,1;15;0,31;1;106;37;63;22;635;1791;7;218;284;9;56;10,8;28;
JADSON;4626;65;72;24,2;94;2;0;0;0;77;22;76;27;539;1706;7;119;276;9;54;10,7;26;
JEFFERSON;4518;58;78;27,7;378;8,4;32;0,71;2;110;33;96;33;874;1843;9;176;326;11;64;11,8;32;
JOÃO MARCUS;4842;65;75;24,6;115;2,4;0;0;0;108;39;80;31;650;1875;8;162;300;10;58;10,8;29;
JUNIOR DINDÊ;5399;65;84;27,4;143;2,6;12;0,22;1;77;27;62;27;641;1972;9;133;345;8;62;10,7;31;
KAYAN;4934;65;76;28,5;378;7,7;40;0,8;3;130;40;135;57;849;2364;11;160;440;12;68;12,2;37;
KLAYVER;4517;65;70;26,4;180;4;16;0,35;2;99;29;89;37;599;1775;8;157;312;11;63;11,4;27;
LUCAS;3806;65;59;26,2;78;2;4;0,09;1;97;35;79;24;460;1935;9;135;341;11;65;13,2;30;
MARQUINHOS;5816;65;90;26;291;5;6;0,1;0;117;39;124;44;976;2387;10;190;407;12;77;13,1;37;
OTÁVIO;4345;54;80;29,5;249;5,7;46;1,06;2;101;37;80;29;696;1704;8;160;275;11;68;11,5;31;
RAFINHA;5479;65;85;28,4;451;8,2;99;1,81;8;88;30;124;57;1010;2176;10;142;377;12;72;12,3;34;
THOMAS;5057;65;78;30,6;218;4,3;56;1,1;4;99;36;69;16;636;2036;9;209;340;7;60;11,3;32;
TOSCANO;5701;65;88;27,5;179;3,1;11;0,19;1;70;21;75;23;761;2428;11;159;438;7;82;12,4;38;
UESLES;5008;65;77;32,4;226;4,5;72;1,45;5;122;46;89;35;719;1985;8;177;317;10;60;10;31;
VITÃO;4903;65;76;26,1;187;3,8;9;0,19;1;100;28;87;37;700;1994;9;123;333;11;62;10,8;31;
