Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3118;60;52;24,8;49;1,6;4;0,14;0;63;20;47;17;313;1179;5;149;192;7;51;9,4;20;
ANDERSON LIGEIRO;3264;60;54;24,7;64;2;0;0;0;64;17;52;25;319;1321;6;170;201;7;68;9,8;22;
CESINHA;3090;60;51;28,8;43;1,4;13;0,42;1;56;17;48;18;321;1116;5;119;191;7;58;9,2;19;
CLAYTON;3041;60;51;20,5;7;0,2;0;0;0;68;29;47;17;316;1229;6;144;205;8;51;9,5;20;
DIEGO CEARÁ;3140;60;52;25,1;45;1,4;0;0;0;66;20;43;11;318;1110;5;151;174;7;41;9,8;18;
IGOR NUNES;2870;60;48;25,3;63;2,2;2;0,07;0;77;21;56;22;314;1067;5;179;166;8;51;9,4;18;
JADSON;2893;60;48;25,7;47;1,6;1;0,05;0;68;30;54;16;306;995;5;115;163;8;38;9;17;
JEFFERSON;2787;60;46;27,5;113;4,1;28;0,99;3;71;24;53;18;360;1132;5;184;190;8;50;9,6;19;
JOÃO MARCUS;3207;60;53;22,4;31;1;0;0;0;67;25;56;20;299;1169;5;173;179;7;47;8,6;19;
JUNIOR DINDÊ;3105;60;52;26,1;84;2,7;6;0,21;1;74;24;53;20;329;1132;5;145;192;7;47;8,8;19;
KAYAN;2928;60;49;25,6;49;1,7;2;0,07;0;50;18;26;11;224;1200;6;142;199;5;46;8,6;20;
KLAYVER;3851;60;64;22,9;25;0,7;0;0;0;52;20;41;9;311;1289;6;115;224;7;50;9,9;21;
LUCAS;2887;60;48;23,8;17;0,6;0;0;0;39;7;43;17;286;1125;5;141;193;7;63;9,5;19;
ORLANDO JUNIOR;2659;60;44;24,9;28;1,1;0;0;0;52;9;29;8;236;1125;5;199;181;5;56;8,7;19;
OTÁVIO;3562;60;59;26,7;56;1,6;16;0,44;1;71;24;40;12;321;1255;5;166;191;7;55;8,9;21;
RAFINHA;2962;60;49;22,9;43;1,5;0;0;0;63;18;71;34;365;1135;5;135;187;9;44;9,3;19;
TOSCANO;3497;60;58;21,9;38;1,1;0;0;0;57;13;42;15;350;1495;7;124;254;7;68;10,7;25;
UESLES;3297;60;55;24,2;83;2,5;0;0;0;77;26;47;17;357;1253;5;160;185;7;52;10,2;21;
VITÃO;3090;60;51;27;40;1,3;9;0,28;1;53;16;41;16;307;1074;5;112;173;8;42;9,3;18;
