Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4991;63;79;28,2;168;3,4;20;0,4;2;119;32;85;27;789;2064;10;159;362;10;68;10,9;33;
ANDERSON LIGEIRO;5325;66;81;29,7;343;6,4;52;0,98;4;134;41;83;26;943;2228;10;156;375;9;77;10,1;34;
BEDEU;4896;66;75;29;111;2,3;24;0,49;2;115;39;79;27;711;1923;9;143;340;9;65;10,8;29;
BRUNO OLIVEIRA;5176;66;79;27,6;171;3,3;21;0,41;2;119;36;82;23;783;2096;9;188;348;9;68;10,5;32;
DIONE;4078;49;84;26,4;115;2,8;11;0,28;3;50;5;51;16;480;1920;12;103;355;7;76;10,6;40;
EZEQUIEL;5541;66;85;29,8;196;3,5;34;0,61;3;145;36;128;42;961;2443;12;165;461;14;74;13,4;37;
IGOR NUNES;5038;66;77;27,4;212;4,2;12;0,23;2;152;34;97;35;946;1953;8;152;324;12;61;11,4;30;
JUNIOR DINDÊ;4635;66;71;29,4;125;2,7;16;0,34;1;89;30;49;15;654;1684;7;134;294;7;56;9,8;26;
LUCAS;5126;66;78;26,4;208;4,1;7;0,14;1;115;31;110;35;1002;2160;11;148;414;11;67;11,9;33;
MARQUINHOS;4496;49;93;27,7;116;2,6;16;0,36;2;94;22;81;25;660;1883;11;214;325;11;76;10,4;39;
ORLANDO JUNIOR;4978;66;76;25,3;192;3,8;1;0,01;0;148;45;101;30;821;2268;10;195;393;11;71;11,2;35;
THOMAS;5204;66;79;28,8;195;3,7;25;0,48;2;115;30;75;21;749;2046;9;163;353;8;63;11,7;31;
TOSCANO;4848;66;74;29,8;52;1,1;16;0,32;1;96;15;61;17;608;2129;10;143;385;8;77;10;32;
UESLES;5100;66;78;27,9;170;3,3;23;0,44;2;169;50;99;29;845;1989;8;178;322;12;56;9,8;30;
VITÃO;5429;66;83;29;145;2,7;22;0,4;2;124;37;96;42;880;2093;9;145;364;11;62;11,1;32;
