Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3646;63;57;25,7;118;3,2;20;0,53;2;60;17;45;15;417;1440;6;159;246;6;56;9,4;23;
ANDERSON LIGEIRO;3876;61;63;30,2;198;5,1;65;1,68;4;53;10;48;11;431;1553;7;199;253;5;71;10;25;
BEDEU;3564;61;58;25,4;197;5,5;2;0,06;0;43;8;45;13;517;1277;6;144;224;6;53;10,2;21;
BRUNO OLIVEIRA;3539;61;58;28,3;101;2,9;19;0,54;3;63;11;45;22;406;1358;6;181;224;6;58;10,3;22;
CESINHA;3150;61;52;21,4;7;0,2;0;0;0;71;30;28;7;231;1313;6;136;234;5;44;6,8;22;
CLAYTON;3272;61;54;26,2;117;3,6;5;0,15;1;45;16;37;12;363;1280;6;143;221;5;60;7,9;21;
DIEGO CEARÁ;3506;73;48;24,4;58;1,7;0;0;0;60;19;45;12;380;1327;5;165;214;7;44;7,5;18;
DIONE;3554;61;58;29,2;53;1,5;15;0,43;1;27;6;55;20;372;1681;8;119;307;6;73;9,7;28;
DIP;3465;61;57;24,9;51;1,5;0;0;0;62;15;46;17;296;1275;6;185;208;6;53;9,1;21;
EZEQUIEL;3707;61;61;32,7;213;5,7;47;1,27;3;63;16;53;13;469;1528;8;147;283;6;67;11,8;25;
IGOR NUNES;3395;61;56;23,3;57;1,7;0;0;0;102;39;48;20;444;1351;6;136;212;9;57;10,6;22;
JADSON;3339;61;55;19,8;1;0;0;0;0;34;4;15;3;224;1194;5;138;191;4;49;8,5;20;
JEFFERSON;3221;61;53;28,8;268;8,3;51;1,57;5;71;19;57;17;541;1221;6;166;219;7;43;8,3;20;
JOÃO MARCUS;3466;61;57;22,3;12;0,3;0;0;0;58;14;31;11;276;1335;6;140;208;5;51;10,6;22;
JUNIOR DINDÊ;3509;61;57;20,5;4;0,1;0;0;0;33;8;20;10;187;1375;6;136;236;3;49;8,8;23;
KAYAN;3593;61;59;28,9;225;6,3;43;1,18;3;63;23;48;14;528;1546;8;156;287;6;54;8,1;25;
KLAYVER;4317;61;71;27,8;124;2,9;22;0,51;3;71;23;67;22;473;1555;8;275;275;8;55;10,2;25;
LUCAS;4333;73;59;28,9;196;4,5;39;0,89;3;77;35;88;35;611;1710;7;136;312;9;59;9,3;23;
MARQUINHOS;3493;61;57;27,7;170;4,9;40;1,15;4;74;18;71;25;554;1336;6;199;228;8;52;9,2;22;
ORLANDO JUNIOR;3617;61;59;31,3;320;8,8;80;2,21;7;67;14;50;13;558;1583;8;173;284;7;65;9,1;26;
OTÁVIO;3078;61;50;19,4;0;0;0;0;0;25;8;11;1;109;1135;5;189;167;2;44;7,2;19;
RAFINHA;4321;73;59;25,1;155;3,6;0;0;0;71;17;80;39;628;1656;7;138;285;9;61;11,2;23;
THOMAS;4451;73;61;29,7;358;8;75;1,68;6;77;28;50;12;615;1671;6;189;284;6;55;9,6;23;
TOSCANO;3864;73;53;20,7;6;0,1;0;0;0;50;11;35;8;322;1646;7;93;288;5;73;11,5;23;
UESLES;3927;61;64;24,4;52;1,3;0;0;0;109;18;37;12;528;1519;6;156;237;7;64;10,3;25;
VITÃO;3600;61;59;21,5;6;0,2;0;0;0;44;13;9;1;357;1421;6;125;230;3;56;10,6;23;
