Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3676;66;56;24,6;78;2,1;2;0,06;0;83;22;60;22;422;1608;6;143;265;8;61;8,4;23;
ANDERSON LIGEIRO;4390;79;56;26,7;170;3,9;11;0,25;3;115;37;68;24;535;1937;7;133;309;8;63;7,6;25;
BEDEU;4441;79;56;24,2;65;1,5;0;0;0;95;32;61;23;481;1803;6;136;302;8;62;7,7;23;
BRUNO OLIVEIRA;3960;79;50;25,3;105;2,7;1;0,02;0;120;36;74;23;413;1725;6;196;275;9;55;8,2;22;
CESINHA;2645;49;54;21;15;0,6;0;0;0;41;14;30;11;230;1017;6;88;171;6;51;6,7;21;
CLAYTON;4066;79;52;23,7;73;1,8;0;0;0;95;21;78;33;505;1735;6;147;288;9;70;10,4;22;
DIEGO CEARÁ;2862;49;59;22,6;21;0,8;0;0;0;46;9;27;7;273;1142;6;110;183;7;55;7,7;23;
DIONE;2542;49;52;25,6;51;2;3;0,11;0;27;6;33;10;308;1258;8;85;223;7;70;7,6;26;
EZEQUIEL;5345;79;68;27,7;203;3,8;15;0,27;2;115;26;99;35;696;2178;8;177;392;9;63;10,1;28;
IGOR NUNES;4039;79;51;25;101;2,5;0;0;0;133;43;79;32;422;1634;5;165;247;10;49;8,6;21;
JADSON;3206;49;66;24;58;1,8;0;0;0;46;7;45;18;403;1183;7;96;193;9;58;8,7;24;
JEFFERSON;2035;49;42;22,7;24;1,2;0;0;0;51;9;44;18;264;886;5;130;147;8;62;8,8;18;
JOÃO MARCUS;2932;49;60;23,7;21;0,7;0;0;0;57;15;47;21;256;1161;6;113;178;9;64;8;24;
JUNIOR DINDÊ;4472;79;57;23,3;31;0,7;0;0;0;82;21;60;23;463;1746;6;156;292;8;53;8,6;22;
KAYAN;2075;49;43;26,7;56;2,7;2;0,1;0;60;21;42;18;222;1111;7;170;193;9;65;7;23;
KLAYVER;2922;49;60;27,1;85;2,9;10;0,35;1;69;21;78;30;335;1139;7;149;198;11;66;8,8;23;
LUCAS;4383;79;56;24,2;133;3;0;0;0;85;19;56;11;505;1835;7;137;322;8;70;7,5;23;
MARQUINHOS;3263;49;67;22,8;44;1,4;0;0;0;96;14;86;32;543;1399;8;155;233;12;65;10,7;29;
ORLANDO JUNIOR;4084;79;52;27,2;136;3,3;12;0,28;2;127;39;82;28;481;1872;6;207;305;9;64;8,2;24;
RAFINHA;2880;49;59;25,2;56;1,9;0;0;0;64;22;61;25;413;1210;7;127;196;11;64;9;25;
THOMAS;4723;79;60;25,4;181;3,8;2;0,04;0;124;39;53;11;531;1884;7;195;307;6;59;8,7;24;
TOSCANO;4323;79;55;24,8;40;0,9;0;0;0;60;12;37;12;420;1769;6;109;301;6;64;9;22;
UESLES;4613;79;59;24,1;70;1,5;0;0;0;129;29;76;27;574;1821;6;204;280;9;55;8,1;23;
VITÃO;4345;79;55;23,3;44;1;0;0;0;74;16;67;24;423;1781;6;102;286;8;60;8;23;
