Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3771;72;52;24,3;55;1,5;2;0,05;0;81;26;42;12;373;1514;6;143;244;6;59;8,2;21;
ANDERSON LIGEIRO;4102;74;55;25,9;118;2,9;1;0,03;0;96;29;45;15;430;1756;6;135;261;6;62;9,1;24;
BEDEU;3936;57;69;20,4;5;0,1;0;0;0;56;14;36;16;273;1674;8;158;289;6;73;14;29;
BRUNO OLIVEIRA;3839;74;52;22,9;26;0,7;0;0;0;102;40;42;13;334;1695;6;189;270;6;67;7,4;23;
CESINHA;2587;74;35;24,3;23;0,9;0;0;0;52;20;17;5;205;929;3;106;154;4;42;6;13;
DIEGO CEARÁ;3473;74;47;23;47;1,3;0;0;0;76;21;31;7;357;1284;4;142;199;6;54;5,9;17;
DIONE;3734;74;50;23,9;69;1,9;0;0;0;40;9;18;5;311;1643;6;122;278;3;64;8,1;22;
DIP;3846;74;52;25,4;74;1,9;1;0,04;0;84;25;43;11;378;1456;5;143;229;6;55;7,6;20;
IGOR NUNES;3839;74;52;24,7;79;2,1;0;0;0;80;32;33;5;375;1365;4;138;199;5;42;8;18;
JADSON;3367;74;45;24,3;34;1;0;0;0;69;15;54;17;387;1190;4;146;190;7;50;6,2;16;
JEFFERSON;3626;74;49;22,9;66;1,8;0;0;0;95;27;43;8;429;1443;5;128;235;7;48;6,9;19;
JOÃO MARCUS;3663;74;49;23,8;20;0,6;0;0;0;108;42;55;23;367;1304;4;168;196;8;47;6,3;18;
JUNIOR DINDÊ;4031;74;54;25,7;112;2,8;4;0,09;1;87;33;42;10;445;1514;6;136;257;6;64;8,8;20;
KAYAN;3764;74;51;26,1;124;3,3;5;0,13;0;104;35;60;17;508;1759;7;155;313;8;64;7,4;24;
KLAYVER;3870;74;52;26,3;84;2,2;9;0,22;1;79;29;70;26;446;1411;5;194;240;7;49;6,8;19;
LUCAS;3912;57;68;21,9;15;0,4;0;0;0;56;13;30;9;247;1742;9;110;313;5;80;13,4;30;
MARQUINHOS;3951;74;53;27,4;92;2,3;17;0,43;1;124;41;75;27;577;1514;6;138;256;9;56;8,5;20;
ORLANDO JUNIOR;4571;74;62;24,8;47;1;0;0;0;108;27;50;14;424;2129;8;205;356;7;77;9,7;29;
OTÁVIO;3924;74;53;25,1;55;1,4;0;0;0;69;21;37;6;394;1469;5;143;207;5;60;6,8;20;
RAFINHA;3454;74;47;26,2;85;2,4;9;0,25;1;75;26;63;20;433;1338;5;157;221;8;65;8,1;18;
THOMAS;3567;58;62;22,8;8;0,2;0;0;0;39;11;12;3;186;1407;6;106;221;2;66;10;24;
TOSCANO;3943;74;53;22,9;12;0,3;0;0;0;60;18;24;6;273;1670;6;99;277;4;65;7,3;22;
UESLES;4002;74;54;25,5;40;1;1;0,04;0;124;47;42;12;459;1682;6;160;246;7;52;8,2;23;
VITÃO;3737;74;50;22,4;25;0,7;0;0;0;87;28;34;6;347;1517;5;112;237;6;52;7,6;20;
