Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;9641;98;99;31,3;667;6,8;159;1,64;9;145;36;142;46;1512;2780;10;201;477;8;95;11,1;55;
ANDERSON LIGEIRO;5078;50;102;33;675;13,3;222;4,36;9;85;27;59;12;940;1788;10;262;301;8;73;11,5;36;
BRUNO OLIVEIRA;9486;98;97;34,3;896;9,4;229;2,41;16;151;28;154;54;1603;3286;10;280;584;9;64;10,8;34;
CLAYTON;7915;78;102;30,4;533;6,7;95;1,21;6;129;32;111;37;1213;2880;11;187;511;9;62;12,1;37;
DIEGO CEARÁ;8792;98;90;34,1;710;8,1;274;3,12;11;141;36;178;62;1433;2874;8;244;481;9;63;9,7;29;
IGOR NUNES;9342;98;95;34,1;614;6,6;136;1,46;12;170;44;149;41;1348;3192;9;239;522;9;52;10,3;33;
JEFFERSON;1594;14;113;30,8;254;15,9;59;3,71;5;20;4;34;8;402;557;12;151;105;11;69;11,4;40;
JOÃO MARCUS;9113;98;93;30,4;514;5,6;166;1,82;9;154;56;134;42;1377;3070;8;216;497;8;54;9,9;31;
JUNIOR DINDÊ;1525;14;107;28;100;6,6;21;1,37;1;27;11;20;7;238;509;11;131;91;8;53;10,6;36;
KAYAN;9053;85;107;28,3;580;6,4;49;0,54;5;145;35;142;54;1602;3683;14;183;699;9;71;12,1;44;
MARQUINHOS;5487;48;114;32;293;5,3;36;0,65;2;73;14;92;23;908;2011;13;203;366;10;68;12,8;42;
ORLANDO JUNIOR;2840;29;98;29,7;204;7,2;62;2,19;2;50;15;46;15;529;1110;11;218;199;9;76;10,3;38;
OTÁVIO;8223;85;97;35,2;255;3,1;35;0,43;3;105;19;87;24;990;2839;9;180;466;7;60;11,3;34;
RAFINHA;2574;20;128;28;314;12,2;74;2,89;6;31;7;39;17;596;923;14;122;169;11;75;12,7;46;
TOSCANO;7038;69;102;32,5;455;6,5;115;1,63;7;80;14;91;27;1044;2702;12;261;487;7;65;10,9;39;
VITÃO;8560;98;87;28,4;292;3,4;18;0,21;1;90;19;92;36;935;3028;8;139;486;6;53;9,7;31;
