Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3566;49;73;26,2;91;2,6;7;0,2;1;87;25;65;22;498;1412;8;163;243;10;60;10,3;29;
ANDERSON LIGEIRO;3486;49;72;26,6;92;2,7;4;0,1;1;97;33;56;18;513;1429;8;160;236;9;69;9,5;29;
BILÃO;3767;49;77;26,4;54;1,4;13;0,34;2;70;22;53;16;487;1440;8;121;241;9;64;10,2;30;
BRUNO OLIVEIRA;3499;49;72;27,8;137;3,9;6;0,17;1;99;26;65;18;505;1388;8;253;237;10;58;11,4;28;
CESINHA;3303;49;68;25,5;88;2,7;1;0,04;0;67;28;56;24;422;1177;7;101;204;9;48;8,7;24;
CLAYTON;3995;49;82;29,1;75;1,9;14;0,36;1;86;22;72;24;520;1686;10;164;300;10;65;11;35;
DIEGO CEARÁ;2792;49;57;26,5;52;1,9;17;0,62;2;68;23;49;18;336;1051;6;141;175;9;52;10,3;22;
EZEQUIEL;3444;49;71;25,4;89;2,6;1;0,02;0;86;20;58;24;505;1485;9;157;270;10;67;10,4;30;
IGOR NUNES;3840;49;79;26;76;2;5;0,13;1;102;32;79;26;538;1455;8;172;229;11;54;10,8;30;
JADSON;3183;49;65;24,4;44;1,4;0;0;0;77;22;48;13;411;1171;7;138;199;10;56;8,8;24;
JEFFERSON;3642;49;75;27;154;4,2;18;0,5;3;131;41;102;34;697;1372;8;164;247;14;65;10,5;28;
JOÃO MARCUS;3242;49;67;24,6;93;2,9;0;0;0;84;23;54;21;410;1266;7;155;205;9;59;9,2;26;
JUNIOR DINDÊ;3680;49;75;25,1;50;1,4;0;0;0;62;20;50;15;405;1307;8;150;228;9;55;10,4;27;
KAYAN;3676;49;75;26,5;200;5,4;8;0,21;1;118;43;96;33;648;1660;10;180;306;13;76;10,2;34;
KLAYVER;3925;49;81;26,8;165;4,2;11;0,29;2;111;33;99;36;606;1473;9;201;261;13;56;11,4;30;
LUCAS;3283;49;67;26,8;94;2,9;12;0,35;1;64;9;51;13;454;1337;8;125;245;9;60;10,2;27;
ORLANDO JUNIOR;3543;49;73;27,3;135;3,8;14;0,39;2;93;23;64;12;491;1631;10;278;290;9;68;10,6;33;
OTÁVIO;3962;49;81;27;41;1;13;0,33;1;73;18;44;14;455;1473;8;175;240;8;54;10,4;30;
RAFINHA;4086;49;84;25,1;67;1,6;0;0;0;80;15;87;30;629;1628;10;133;289;13;65;11,4;33;
UESLES;3357;49;69;25,7;61;1,8;4;0,11;1;112;40;73;27;481;1366;8;180;224;12;52;10,1;28;
VITÃO;3610;49;74;24,7;58;1,6;0;0;0;57;14;43;15;440;1447;8;105;242;9;58;10;30;
