Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3277;57;57;25;105;3,1;10;0,3;1;62;23;27;8;386;1339;6;145;222;5;50;7,7;23;
ANDERSON LIGEIRO;4176;61;69;29;256;6,1;82;1,97;7;88;33;22;7;573;1662;7;185;269;4;60;8,4;27;
BEDEU;3454;61;57;25,1;137;4;0;0;0;63;28;23;9;483;1388;7;157;240;5;50;7,7;23;
BRUNO OLIVEIRA;3464;61;57;27,7;118;3,4;7;0,21;1;44;13;17;5;418;1431;7;126;238;3;50;7,5;24;
CESINHA;2509;53;47;26,9;106;4,2;22;0,89;2;28;10;12;3;219;947;5;130;163;3;58;7,1;18;
CLAYTON;2872;53;54;24,6;90;3,1;0;0;0;80;34;44;10;298;1141;6;140;191;7;46;7,3;21;
DIEGO CEARÁ;2238;53;42;18,3;0;0;0;0;0;41;22;19;8;144;902;4;134;135;6;36;5,4;17;
DIONE;3815;61;63;26,2;88;2,3;3;0,07;0;32;3;19;5;398;1674;8;103;298;4;63;7,5;28;
DIP;3172;61;52;24,2;88;2,8;0;0;0;49;14;10;1;403;1226;5;92;197;4;42;6,7;20;
IGOR NUNES;3810;61;63;28,2;77;2;21;0,56;2;74;24;9;3;475;1401;6;123;214;3;47;7,3;23;
JADSON;2467;53;47;21;5;0,2;0;0;0;66;32;24;9;164;972;5;188;151;5;38;6,3;18;
JEFFERSON;2759;53;52;25,7;91;3,3;1;0,03;0;83;40;44;16;343;1153;6;273;192;8;45;8,3;22;
JOÃO MARCUS;2425;53;46;22,4;12;0,5;0;0;0;68;36;40;12;159;1046;5;169;148;8;46;6,1;20;
JUNIOR DINDÊ;4347;61;72;26,1;135;3,1;6;0,13;1;65;18;18;3;543;1723;9;134;312;4;58;7,7;28;
KAYAN;2715;53;51;26,6;141;5,2;11;0,4;1;67;28;45;17;318;1310;7;162;230;8;55;8,2;25;
KLAYVER;2762;53;52;27,4;148;5,4;40;1,43;5;52;21;32;8;248;1067;6;137;177;6;65;10,1;20;
LUCAS;3471;61;57;23,5;69;2;0;0;0;74;24;32;10;480;1501;7;137;270;7;53;7,6;25;
MARQUINHOS;3784;61;62;28,2;178;4,7;11;0,3;1;67;20;32;8;570;1434;7;146;240;6;50;7,9;24;
OTÁVIO;2892;53;54;21,2;6;0,2;0;0;0;65;25;30;9;222;1132;5;161;161;6;51;8,5;21;
RAFINHA;2838;53;53;24,9;148;5,2;0;0;0;36;14;54;19;374;1104;6;116;183;9;48;9,3;21;
THOMAS;4101;61;68;26,6;292;7,1;31;0,76;6;65;21;27;4;599;1619;7;200;272;4;50;7,7;27;
TOSCANO;3568;61;59;25,7;84;2,4;2;0,06;0;38;13;19;2;417;1476;7;108;254;4;47;7,2;24;
UESLES;3842;61;63;23,8;105;2,7;0;0;0;113;38;28;7;565;1562;7;133;244;7;45;8;26;
VITÃO;3899;61;64;21,6;34;0,9;0;0;0;74;23;22;1;471;1608;7;85;267;5;45;8,4;27;
