Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;11059;109;102;30,4;812;7,3;183;1,66;11;150;36;160;48;1774;3013;11;180;539;8;98;11,5;55;
ANDERSON LIGEIRO;3618;33;110;29,5;543;15;117;3,22;5;61;16;62;18;820;1316;12;182;234;9;67;11,3;40;
CESINHA;10121;109;93;30;717;7,1;107;1,05;7;109;36;119;35;1446;3318;9;164;607;7;62;10,4;30;
DIEGO CEARÁ;7242;76;95;30,9;371;5,1;115;1,59;8;113;34;94;22;986;2331;8;208;382;8;52;10,3;31;
DIONE;5943;55;109;27,2;191;3,2;10;0,17;1;60;11;69;22;829;2477;14;128;469;8;77;12,4;45;
DIP;1356;15;93;24,3;102;7,5;0;0;0;13;4;12;1;242;440;9;104;75;5;54;9,9;30;
JADSON;10119;109;93;30,6;585;5,8;195;1,93;12;99;19;92;23;1149;3199;8;188;537;6;59;10;29;
JEFFERSON;7064;68;104;32,2;656;9,3;141;2;9;141;38;146;46;1347;2457;11;205;446;11;60;11,7;36;
JOÃO MARCUS;10144;109;93;30;709;7;146;1,44;9;167;40;139;41;1494;3380;9;237;561;8;57;10,9;31;
KAYAN;11505;109;106;31,8;892;7,8;195;1,7;10;191;52;184;68;1951;4698;14;223;905;9;77;12,8;43;
KLAYVER;10312;95;108;33,6;848;8,2;236;2,29;16;135;41;167;56;1713;3462;11;186;636;10;60;12,1;36;
MARQUINHOS;6166;54;114;29,9;363;5,9;71;1,15;5;89;16;105;34;1088;2255;13;162;416;11;68;13,6;42;
ORLANDO JUNIOR;3933;41;96;31,2;404;10,3;124;3,15;9;51;12;63;13;684;1544;12;202;287;8;68;11,4;38;
OTÁVIO;10818;109;99;34,8;735;6,8;227;2,1;12;133;23;153;36;1692;3595;9;174;614;8;66;11,9;33;
RAFINHA;7843;68;115;27,9;569;7,3;52;0,67;5;87;14;137;49;1480;2781;12;182;505;10;70;13,1;41;
TOSCANO;4533;41;111;31,5;441;9,7;93;2,05;5;52;9;56;20;840;1686;13;151;330;6;82;11,3;41;
