Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;5336;72;74;28,5;252;4,7;46;0,86;3;107;28;68;21;792;2070;8;156;357;8;62;10,4;28;
ANDERSON LIGEIRO;5793;74;78;29,4;388;6,7;94;1,62;6;128;32;76;17;957;2250;8;161;369;7;60;10,3;30;
BILÃO;5287;74;71;25,6;166;3,1;4;0,07;1;83;23;59;15;722;1893;7;143;316;8;59;10,5;25;
BRUNO OLIVEIRA;5310;74;72;30,6;415;7,8;83;1,57;5;126;38;82;30;913;2044;8;156;348;8;55;9,1;28;
CESINHA;5180;74;70;28,8;350;6,8;84;1,62;7;105;37;53;15;823;1879;7;114;332;7;56;8,8;25;
CLAYTON;5819;74;78;28,4;328;5,6;38;0,66;3;128;39;77;35;864;2278;9;187;404;9;68;11,3;31;
DIEGO CEARÁ;5071;74;68;29,9;149;2,9;34;0,67;1;85;15;52;13;634;1735;6;161;283;6;47;9,2;23;
EZEQUIEL;6069;74;82;32,4;458;7,5;63;1,03;6;118;23;93;29;1046;2424;10;196;455;8;79;11;33;
IGOR NUNES;5486;74;74;29,1;391;7,1;129;2,35;8;143;51;77;25;871;1989;7;204;326;8;59;10,1;27;
JADSON;4921;74;66;22,6;33;0,7;0;0;0;63;13;40;8;466;1744;6;87;281;7;47;8,5;23;
JEFFERSON;2976;44;68;28,6;173;5,8;24;0,82;1;78;19;52;18;572;1159;8;145;202;8;53;9,2;27;
JOÃO MARCUS;5185;74;70;28,5;125;2,4;35;0,68;3;128;38;81;30;721;2010;7;181;326;9;57;9,9;27;
JUNIOR DINDÊ;5804;74;78;28,7;135;2,3;11;0,18;1;93;22;50;14;792;2057;8;127;375;6;65;11,2;28;
KAYAN;5700;74;77;28;408;7,2;61;1,07;5;122;29;87;25;975;2444;10;173;456;9;68;10,7;33;
KLAYVER;5868;74;79;31,4;302;5,1;70;1,19;3;113;35;84;24;842;2125;9;159;381;9;61;11,1;29;
LUCAS;5740;74;77;27,8;218;3,8;20;0,35;1;113;37;74;22;907;2240;9;156;413;8;70;11,2;30;
MARQUINHOS;3560;53;68;20,3;4;0,1;0;0;0;76;14;36;11;332;1502;8;144;260;8;71;13,4;29;
ORLANDO JUNIOR;5532;74;75;31,2;334;6;83;1,5;8;114;17;76;14;793;2391;9;208;419;8;67;10,5;32;
OTÁVIO;5914;74;80;33,7;231;3,9;51;0,87;3;113;24;73;23;931;2171;8;124;354;8;66;10,2;29;
RAFINHA;6098;74;82;28,9;388;6,4;60;0,98;5;112;32;105;42;1097;2284;9;145;401;10;76;11,7;31;
TOSCANO;5200;74;70;23,2;71;1,4;0;0;0;79;14;39;7;638;2227;9;165;397;6;74;12,6;30;
UESLES;5594;74;75;28,9;244;4,4;42;0,75;4;157;41;75;24;836;2147;8;180;339;9;55;10,1;29;
VITÃO;5296;74;71;29,8;240;4,5;35;0,66;2;77;17;60;18;696;2000;7;112;329;7;62;8,2;27;
