Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4795;56;86;24,9;111;2,4;3;0,07;0;90;23;79;26;674;1938;10;160;339;10;64;10,9;34;
ANDERSON LIGEIRO;3228;46;70;26,5;260;8,1;6;0,18;1;86;22;64;23;517;1455;9;203;249;9;78;11,8;32;
BILÃO;4584;57;80;24;65;1,4;0;0;0;81;21;80;31;536;1760;9;171;293;9;64;10,3;31;
BRUNO OLIVEIRA;5346;57;93;24,4;164;3,1;0;0;0;83;11;92;29;858;2119;11;165;366;10;68;11,7;37;
CESINHA;4130;57;72;25,6;78;1,9;1;0,02;0;89;30;45;11;496;1547;8;102;272;7;51;8,6;27;
CLAYTON;4731;57;83;27,7;90;1,9;9;0,19;1;104;27;83;28;651;2059;11;158;372;11;62;9,9;36;
DIEGO CEARÁ;4336;57;76;24,7;86;2;0;0;0;89;20;63;26;505;1636;8;199;271;8;60;9,9;29;
EZEQUIEL;5870;57;102;22,5;35;0,6;0;0;0;86;12;93;24;699;2664;15;178;505;10;71;12,5;46;
IGOR NUNES;5188;57;91;24,9;86;1,7;0;0;0;127;30;83;31;789;2026;9;171;323;11;63;11,8;35;
JADSON;5324;57;93;22,8;48;0,9;0;0;0;48;6;52;18;646;1918;9;129;326;8;59;11,8;33;
JEFFERSON;4600;57;80;24,4;146;3,2;0;0;0;127;40;82;22;726;1757;9;202;313;10;60;10,4;31;
JOÃO MARCUS;4818;57;84;26,5;179;3,7;3;0,06;1;122;34;125;37;901;1816;9;148;306;13;54;10,7;32;
JUNIOR DINDÊ;4757;57;83;22,8;60;1,3;0;0;0;77;19;56;23;529;1719;9;152;299;7;56;9,4;30;
KAYAN;4969;57;87;26,4;109;2,2;9;0,19;1;115;37;94;34;729;2299;12;173;428;11;78;10,6;40;
KLAYVER;5618;57;98;26,7;192;3,4;11;0,19;2;85;30;87;24;798;1967;11;171;364;10;61;11,6;34;
LUCAS;2805;32;89;23,1;68;2,4;0;0;0;48;9;62;20;476;1117;11;119;206;13;67;10,2;35;
ORLANDO JUNIOR;4679;57;82;23,1;105;2,3;0;0;0;84;17;84;26;653;2090;11;165;372;10;65;10,8;36;
OTÁVIO;5363;57;94;29,3;282;5,3;35;0,65;3;88;16;101;22;836;2072;10;198;348;10;60;12,9;36;
RAFINHA;4860;57;85;24,9;126;2,6;0;0;0;103;31;125;49;822;1949;10;151;347;15;64;11,4;34;
TOSCANO;4860;57;85;24,1;21;0,4;0;0;0;63;6;55;18;484;2123;11;152;375;8;70;11,5;37;
UESLES;5290;57;92;24,8;92;1,7;0;0;0;119;40;86;27;800;2071;10;159;343;12;62;10,6;36;
VITÃO;5334;57;93;23,5;46;0,9;0;0;0;59;17;47;20;698;2075;10;101;358;8;63;10,7;36;
