Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3496;66;53;27,4;372;10,6;32;0,91;4;121;37;86;28;596;1474;6;232;257;10;53;7,3;22;
BILÃO;3199;66;48;28,2;295;9,2;33;1,04;4;97;35;75;28;487;1338;6;233;230;9;38;6,7;20;
BRUNO OLIVEIRA;3633;66;55;27,8;425;11,7;42;1,16;6;165;45;132;46;708;1530;7;261;267;12;69;8,6;23;
CESINHA;3384;66;51;26,8;302;8,9;21;0,61;2;112;34;72;19;576;1393;6;202;236;10;61;6,7;21;
CLAYTON;3388;66;51;28,9;283;8,4;23;0,69;2;134;49;71;21;578;1576;7;205;279;11;50;7,1;24;
DIEGO CEARÁ;3389;66;51;25,3;318;9,4;3;0,08;0;89;30;41;11;469;1331;5;244;216;6;36;6,3;20;
EZEQUIEL;3438;66;52;27,9;368;10,7;38;1,09;5;109;30;81;22;535;1520;7;237;281;9;49;7,1;23;
IGOR NUNES;3550;66;54;26,4;506;14,3;23;0,66;3;153;49;109;43;690;1519;7;226;267;11;72;8,9;23;
JADSON;3500;66;53;25,8;352;10,1;8;0,24;0;108;26;93;29;598;1371;6;207;234;10;59;7;21;
JEFFERSON;3363;66;51;27,7;373;11,1;41;1,22;6;108;32;60;16;559;1431;6;251;253;8;41;6,3;22;
JOÃO MARCUS;3687;66;56;27,2;467;12,7;58;1,58;10;145;42;117;43;675;1499;6;270;247;11;45;8,3;23;
JUNIOR DINDÊ;3423;66;52;26,9;325;9,5;39;1,13;6;107;36;66;24;589;1440;7;252;262;9;42;7,5;22;
KAYAN;3482;66;52;26,8;334;9,6;10;0,29;1;117;40;83;28;540;1705;8;228;316;9;53;6,8;26;
KLAYVER;3885;66;59;27,9;488;12,6;57;1,45;8;155;43;109;39;725;1539;7;257;283;12;65;8,7;23;
LUCAS;3328;66;50;26,7;352;10,6;40;1,21;7;87;25;76;23;524;1471;7;220;271;8;43;6,7;22;
ORLANDO JUNIOR;3448;66;52;28,3;288;8,4;34;0,97;4;110;37;77;20;515;1623;7;234;276;9;61;7;24;
OTÁVIO;3852;66;58;29,1;456;11,8;70;1,82;8;117;30;74;19;669;1494;6;238;241;9;42;8,2;23;
RAFINHA;3331;66;50;28,4;399;12;31;0,94;5;120;35;116;42;631;1367;6;199;242;12;56;6,7;21;
UESLES;3721;66;56;27,7;367;9,9;29;0,77;3;143;49;89;36;635;1510;6;230;247;11;67;7,8;23;
VITÃO;3419;66;52;27;376;11;13;0,38;2;116;39;90;30;624;1357;6;205;226;10;67;6,4;20;
