Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4452;80;56;26,2;180;4;33;0,74;2;85;29;46;16;572;1817;6;138;310;6;56;8,2;23;
ANDERSON LIGEIRO;2806;55;51;31,9;375;13,3;212;7,56;7;80;25;55;18;552;1260;6;152;209;7;64;8,4;23;
BILÃO;4523;89;51;24,7;135;3;0;0;0;62;22;37;8;514;1881;6;142;304;5;60;8,3;21;
BRUNO OLIVEIRA;4392;80;55;25,9;135;3,1;6;0,13;1;75;27;24;5;448;1910;6;133;313;4;56;9,3;24;
CESINHA;4698;80;59;28;161;3,4;32;0,69;3;57;25;18;4;446;1707;6;113;299;3;44;7,2;21;
CLAYTON;4769;86;55;26,6;112;2,4;9;0,18;1;99;30;44;14;541;2042;7;151;357;5;62;6,8;24;
DIEGO CEARÁ;3930;77;51;23,8;106;2,7;0;0;0;39;9;21;8;394;1441;5;105;241;3;51;7,6;19;
EZEQUIEL;4440;80;55;29,5;296;6,7;94;2,13;8;93;26;80;26;740;1849;7;156;345;8;73;8,7;23;
IGOR NUNES;4576;80;57;28,4;180;3,9;42;0,91;4;102;31;26;10;627;1760;6;158;278;4;44;7,4;22;
JADSON;4762;85;56;22,8;84;1,8;0;0;0;96;33;59;25;714;1804;6;138;312;7;52;7,4;21;
JEFFERSON;4759;77;62;28,6;419;8,8;110;2,32;8;73;24;37;9;722;1647;6;146;286;5;42;8,7;21;
JOÃO MARCUS;4759;85;56;23,3;11;0,2;0;0;0;119;53;68;28;433;1856;6;169;298;7;53;6,6;22;
JUNIOR DINDÊ;4915;90;55;26,8;97;2;10;0,2;1;108;33;54;21;553;1926;6;126;326;7;50;7,6;21;
KAYAN;4864;77;63;27,9;395;8,1;56;1,16;5;107;35;69;24;841;2286;9;178;432;7;70;9,8;30;
KLAYVER;4605;80;57;25,1;111;2,4;0;0;0;49;16;26;5;443;1741;6;140;308;4;46;7,9;22;
LUCAS;4630;80;58;25,2;367;7,9;0;0;0;91;27;75;33;778;1945;8;135;370;7;60;9,1;24;
ORLANDO JUNIOR;4775;80;60;29,5;389;8,1;85;1,78;6;75;20;40;6;743;1989;7;145;346;5;57;10,3;25;
OTÁVIO;4601;80;57;29,6;162;3,5;23;0,49;2;76;20;41;7;519;1822;6;102;283;6;55;10,8;23;
RAFINHA;4278;80;53;26,7;168;3,9;19;0,44;2;74;27;46;19;563;1688;6;123;284;7;56;7,3;21;
TOSCANO;2653;55;48;21;30;1,1;0;0;0;18;7;12;5;336;1152;6;67;191;3;65;7,2;21;
UESLES;5055;87;58;21,8;18;0,4;0;0;0;179;74;74;33;656;2062;6;188;331;8;63;7,7;24;
VITÃO;4701;87;54;22,6;34;0,7;0;0;0;104;45;50;28;453;1933;6;132;329;6;52;8;22;
