Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4489;81;56;25,7;166;3,5;13;0,27;1;97;29;58;19;556;1821;6;152;308;7;54;8,1;23;
ANDERSON LIGEIRO;4474;75;59;24,4;164;3,7;0;0;0;94;33;43;15;518;1868;7;150;298;6;57;8,1;25;
BILÃO;4709;81;58;27;244;5,2;9;0,2;1;95;23;49;17;594;1775;6;146;296;6;52;7,6;22;
BRUNO OLIVEIRA;5353;81;66;29,9;316;5,9;29;0,55;3;107;33;37;10;741;2128;7;179;353;5;63;8,5;26;
CESINHA;4530;81;56;28,3;356;7,9;56;1,23;7;71;19;26;4;575;1756;6;130;315;4;56;7,9;22;
CLAYTON;4594;81;57;26,2;218;4,7;8;0,17;1;96;27;57;16;518;1905;7;151;325;6;57;8,1;23;
DIEGO CEARÁ;4033;81;50;26,5;46;1,2;5;0,12;1;78;20;35;8;421;1601;5;157;266;5;51;7,5;20;
EZEQUIEL;4374;81;54;23,1;77;1,8;0;0;0;103;26;70;19;529;1873;7;174;328;7;56;7,8;23;
IGOR NUNES;4885;81;60;27,7;306;6,3;15;0,3;1;147;51;45;13;812;1944;7;191;328;6;53;8,2;24;
JADSON;3711;81;46;23,4;39;1,1;0;0;0;78;19;44;17;370;1444;5;110;237;7;49;8,3;18;
JEFFERSON;4877;81;60;26,3;187;3,8;9;0,18;2;141;55;78;25;780;2010;7;164;360;9;55;8,1;25;
JOÃO MARCUS;3873;81;48;24,3;65;1,7;0;0;0;78;20;74;26;373;1609;5;128;253;8;53;8,9;20;
JUNIOR DINDÊ;4210;81;52;23,5;68;1,6;0;0;0;58;12;38;11;345;1647;6;148;277;5;49;7,5;20;
KAYAN;4440;76;59;26,1;135;3;5;0,11;1;117;39;82;36;609;2187;9;186;410;9;64;8,6;29;
KLAYVER;5006;81;62;28,3;214;4,3;32;0,64;3;71;19;54;15;539;1805;7;123;317;6;51;8,4;22;
LUCAS;5148;81;63;26,7;273;5,3;33;0,64;4;124;39;117;42;808;2150;8;169;396;9;56;8,7;26;
ORLANDO JUNIOR;4567;81;56;24,2;102;2,2;0;0;0;120;41;59;14;594;2119;7;203;353;7;65;7,5;26;
OTÁVIO;4282;81;53;24,2;83;1,9;0;0;0;69;16;35;10;454;1630;5;87;245;5;53;7,8;20;
RAFINHA;4907;81;60;30,6;377;7,7;59;1,21;5;120;37;121;49;780;1852;7;151;323;9;51;7,7;23;
UESLES;4023;81;50;21,9;32;0,8;0;0;0;121;39;46;17;430;1623;5;165;244;8;51;7,8;20;
VITÃO;3775;81;46;21,9;29;0,8;0;0;0;53;12;42;14;326;1515;5;123;241;7;48;7,9;19;
