Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4242;67;63;27;170;4;22;0,52;2;90;25;60;19;599;1641;7;156;273;7;61;10,3;24;
ANDERSON LIGEIRO;4322;69;63;28,5;264;6,1;81;1,87;5;93;26;62;22;648;1684;7;140;270;7;64;11,9;25;
BRUNO OLIVEIRA;3998;61;65;29,7;407;10,2;33;0,82;1;92;23;71;24;731;1613;7;145;269;8;73;9;26;
CESINHA;3743;69;55;28,5;132;3,5;35;0,94;3;67;23;44;14;483;1340;6;115;234;6;50;8,7;20;
CLAYTON;4424;69;64;25,6;148;3,3;4;0,1;1;92;24;66;24;609;1725;7;209;298;8;73;10,9;25;
DIEGO CEARÁ;4226;69;62;29,5;253;6;70;1,65;5;78;19;46;15;587;1461;6;184;241;6;53;10,1;21;
DIONE;4374;69;64;25,7;121;2,8;2;0,05;0;45;10;49;20;524;1961;9;95;357;6;74;9,6;29;
DIP;3747;69;55;26,8;47;1,3;10;0,27;2;106;36;44;20;441;1481;6;154;247;9;58;10,1;22;
IGOR NUNES;4097;69;60;25,7;120;2,9;3;0,07;0;113;38;55;15;584;1598;6;157;246;9;51;10,4;23;
JADSON;4179;69;61;25,2;64;1,5;1;0,02;0;70;15;62;25;491;1467;6;132;233;8;52;9,3;21;
JEFFERSON;4377;69;64;27,4;236;5,4;12;0,28;1;104;30;69;16;738;1667;7;185;289;8;66;9,8;24;
JOÃO MARCUS;4370;69;64;24,6;89;2;0;0;0;83;24;56;14;528;1535;6;143;240;6;55;9,2;22;
JUNIOR DINDÊ;4735;69;69;25,5;133;2,8;1;0,03;0;85;22;53;15;653;1612;7;136;272;7;60;11;23;
KAYAN;2953;44;68;30,1;280;9,5;73;2,49;4;94;31;80;24;595;1320;9;175;248;10;75;9,7;30;
KLAYVER;4499;69;66;31,5;210;4,7;40;0,89;2;88;26;77;27;602;1579;7;167;270;8;51;11;23;
MARQUINHOS;4868;69;71;28,7;251;5,2;46;0,94;5;124;42;100;22;862;1958;8;180;333;10;62;12,7;29;
ORLANDO JUNIOR;4329;69;63;26,4;169;3,9;19;0,45;2;98;30;54;14;591;1829;7;156;301;7;73;8,9;27;
OTÁVIO;4625;69;67;25,7;133;2,9;1;0,02;0;84;19;71;18;610;1693;6;180;261;8;57;11,4;25;
RAFINHA;4442;69;65;26,7;180;4,1;8;0,18;1;91;20;69;25;700;1671;7;146;287;8;61;11,6;24;
THOMAS;4447;69;65;24,6;69;1,6;0;0;0;108;38;59;17;497;1841;7;205;301;8;59;11,5;27;
TOSCANO;4304;69;63;27,7;204;4,7;32;0,75;2;61;12;39;13;577;1705;7;143;294;5;70;11,1;25;
UESLES;4310;69;63;28,2;150;3,5;18;0,41;3;131;38;62;19;680;1679;6;171;260;9;58;9,9;24;
VITÃO;3961;69;58;22,5;74;1,9;0;0;0;63;8;29;6;455;1557;6;115;249;5;50;9,1;23;
